Seq. For Order,Observation Class,Domain Prefix,Variable Name (minus domain prefix),,Variable Label,Variable Name,Controlled Terms or Format,Role,CDISC Notes (for domains) Description (for General Classes),Core
1,All Classes,,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,
2,All Classes,,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,
3,All Classes,,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,
8,All Classes,,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",
9,All Classes,,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,
10,All Classes,,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,
11,All Classes,,TAETORD,,Planned Order of Elements within Arm,TAETORD,,Timing,Number that gives the order of the Element within the Arm.,
12,All Classes,,EPOCH,,Epoch,EPOCH,,Timing,Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned,
1,Events,AE,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Events,AE,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Events,AE,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Events,AE,SEQ,,Sequence Number,AESEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Events,AE,GRPID,,Group ID,AEGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Events,AE,REFID,,Reference ID,AEREFID,,Identifier,Internal or external identifier such as a serial number on an SAE reporting form,Perm
7,Events,AE,SPID,,Sponsor-Defined Identifier,AESPID,,Identifier,Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on an Adverse Events page.,Perm
8,Events,AE,TERM,,Reported Term for the Adverse Event,AETERM,,Topic,Verbatim name of the event.,Req
9,Events,AE,MODIFY,,Modified Reported Term,AEMODIFY,,Synonym Qualifier,"If AETERM is modified to facilitate coding, then AEMODIFY will contain the modified text.",Perm
